State_Name,District_Name,latitude,longitude
Andaman and Nicobar Islands,NICOBARS,12.137838599999998,92.78590585
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,12.6112387,92.8316541
Andaman and Nicobar Islands,SOUTH ANDAMANS,12.137838599999998,92.78590585
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039
Andhra Pradesh,CHITTOOR,13.325036,79.6480611
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378
Andhra Pradesh,GUNTUR,16.2915189,80.4541588
Andhra Pradesh,KADAPA,14.4752936,78.8216861
Andhra Pradesh,KRISHNA,16.2135466,81.0277844
Andhra Pradesh,KURNOOL,15.8309251,78.0425373
Andhra Pradesh,PRAKASAM,15.5641955,80.0066786
Andhra Pradesh,SPSR NELLORE,14.557001,79.7234781
Andhra Pradesh,SRIKAKULAM,18.2949307,83.8938844
Andhra Pradesh,VISAKHAPATANAM,16.036756843750002,80.5189369125
Andhra Pradesh,VIZIANAGARAM,18.1141255,83.4114389
Andhra Pradesh,WEST GODAVARI,16.6443029,81.5885247
Arunachal Pradesh,ANJAW,28.1553856,96.8407212
Arunachal Pradesh,CHANGLANG,27.2698797,96.0602442
Arunachal Pradesh,DIBANG VALLEY,28.8291044,95.9554096
Arunachal Pradesh,EAST KAMENG,27.557781,93.0753012
Arunachal Pradesh,EAST SIANG,28.0742219,95.4178149
Arunachal Pradesh,KURUNG KUMEY,27.9863677,93.1578347
Arunachal Pradesh,LOHIT,28.0350162,96.1713515
Arunachal Pradesh,LONGDING,26.8794546,95.3155652
Arunachal Pradesh,LOWER DIBANG VALLEY,28.2149563,95.878774
Arunachal Pradesh,LOWER SUBANSIRI,27.6059753,93.8669707
Arunachal Pradesh,NAMSAI,27.7140306,96.0159709
Arunachal Pradesh,PAPUM PARE,27.2863667,93.6187716
Arunachal Pradesh,TAWANG,27.5879186,91.863733
Arunachal Pradesh,TIRAP,27.030169,95.4979175
Arunachal Pradesh,UPPER SIANG,28.7312046,95.0377315
Arunachal Pradesh,UPPER SUBANSIRI,28.2596054,94.0938106
Arunachal Pradesh,WEST KAMENG,27.2915853,92.4619174
Arunachal Pradesh,WEST SIANG,28.1970922,94.48407
Assam,BAKSA,26.6275689,91.3388551
Assam,BARPETA,26.345941,91.039708
Assam,BONGAIGAON,26.4800126,90.5580387
Assam,CACHAR,24.75864,92.8816648
Assam,CHIRANG,26.6464231,90.624157
Assam,DARRANG,26.4373481,92.0047145
Assam,DHEMAJI,27.5945155,94.7192098
Assam,DHUBRI,26.132275,90.1249962
Assam,DIBRUGARH,27.4844597,94.9019447
Assam,DIMA HASAO,25.4003625,93.0752292
Assam,GOALPARA,26.0491877,90.6001859
Assam,GOLAGHAT,26.5108262,93.9743686
Assam,HAILAKANDI,24.6846916,92.5645836
Assam,JORHAT,26.7577925,94.2079645
Assam,KAMRUP,26.1468861,91.2227397
Assam,KAMRUP METRO,26.1161377,91.7973256
Assam,KARBI ANGLONG,26.0712781,93.4552969
Assam,KARIMGANJ,24.5828196,92.3725487
Assam,KOKRAJHAR,26.4912104,90.1215209
Assam,LAKHIMPUR,27.1763356,94.1992932
Assam,MARIGAON,26.290712,92.2922184
Assam,NAGAON,26.3313646,92.7524763
Assam,NALBARI,26.3533632,91.3983662
Assam,SIVASAGAR,26.9834936,94.6394226
Assam,SONITPUR,26.7677707,92.7014089
Assam,TINSUKIA,27.4879722,95.3601855
Assam,UDALGURI,26.7047238,92.0421507
Bihar,ARARIA,26.1346459,87.4654062
Bihar,ARWAL,25.1812832,84.6596648
Bihar,AURANGABAD,24.8033201,84.4110198
Bihar,BANKA,24.8328273,86.8161114
Bihar,BEGUSARAI,25.5125411,86.0883392
Bihar,BHAGALPUR,25.2861354,87.1304229
Bihar,BHOJPUR,25.4501182,84.5635193
Bihar,BUXAR,25.5044834,84.1097525
Bihar,DARBHANGA,26.08299,86.0324951
Bihar,GAYA,24.7964355,85.0079563
Bihar,GOPALGANJ,26.4211166,84.3739133
Bihar,JAMUI,24.7562514,86.3011128
Bihar,JEHANABAD,25.1529579,85.0065043
Bihar,KAIMUR (BHABUA),25.0402736,83.6076361
Bihar,KATIHAR,25.5586421,87.6457196
Bihar,KHAGARIA,25.4930513,86.6982264
Bihar,KISHANGANJ,26.2984144,87.9466715
