district_id,match_2001_status,match_2011_status,matched_in_both,matched_in_2001_only,matched_in_2011_only,unresolved_in_both,requires_manual_review
IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,fuzzy_candidate_only,fuzzy_candidate_only,False,False,False,True,True
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,matched_exact_unique,fuzzy_candidate_only,False,True,False,False,True
IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,fuzzy_candidate_only,matched_exact_unique,False,False,True,False,True
IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,fuzzy_candidate_only,fuzzy_candidate_only,False,False,False,True,True
IND_ANDHRA_PRADESH_ADILABAD,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_ANANTAPUR,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_CHITTOOR,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_EAST_GODAVARI,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_GUNTUR,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_HYDERABAD,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_KADAPA,fuzzy_candidate_only,fuzzy_candidate_only,False,False,False,True,True
IND_ANDHRA_PRADESH_KARIMNAGAR,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_KHAMMAM,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_KRISHNA,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_KURNOOL,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_MAHBUBNAGAR,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_MEDAK,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_NALGONDA,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_NIZAMABAD,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_PRAKASAM,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_RANGAREDDI,matched_exact_unique,fuzzy_candidate_only,False,True,False,False,True
IND_ANDHRA_PRADESH_SPSR_NELLORE,fuzzy_candidate_only,fuzzy_candidate_only,False,False,False,True,True
IND_ANDHRA_PRADESH_SRIKAKULAM,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_VISAKHAPATANAM,fuzzy_candidate_only,fuzzy_candidate_only,False,False,False,True,True
IND_ANDHRA_PRADESH_VIZIANAGARAM,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_WARANGAL,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ANDHRA_PRADESH_WEST_GODAVARI,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_ANJAW,fuzzy_candidate_only,matched_exact_unique,False,False,True,False,True
IND_ARUNACHAL_PRADESH_CHANGLANG,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_DIBANG_VALLEY,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_EAST_KAMENG,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_EAST_SIANG,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_KURUNG_KUMEY,fuzzy_candidate_only,matched_exact_unique,False,False,True,False,True
IND_ARUNACHAL_PRADESH_LOHIT,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_LONGDING,fuzzy_candidate_only,fuzzy_candidate_only,False,False,False,True,True
IND_ARUNACHAL_PRADESH_LOWER_DIBANG_VALLEY,fuzzy_candidate_only,matched_exact_unique,False,False,True,False,True
IND_ARUNACHAL_PRADESH_LOWER_SUBANSIRI,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_NAMSAI,fuzzy_candidate_only,fuzzy_candidate_only,False,False,False,True,True
IND_ARUNACHAL_PRADESH_PAPUM_PARE,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_TAWANG,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_TIRAP,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_UPPER_SIANG,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_UPPER_SUBANSIRI,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_WEST_KAMENG,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ARUNACHAL_PRADESH_WEST_SIANG,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_BAKSA,fuzzy_candidate_only,matched_exact_unique,False,False,True,False,True
IND_ASSAM_BARPETA,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_BONGAIGAON,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_CACHAR,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_CHIRANG,fuzzy_candidate_only,matched_exact_unique,False,False,True,False,True
IND_ASSAM_DARRANG,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_DHEMAJI,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_DHUBRI,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_DIBRUGARH,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_DIMA_HASAO,fuzzy_candidate_only,matched_exact_unique,False,False,True,False,True
IND_ASSAM_GOALPARA,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_GOLAGHAT,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_HAILAKANDI,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_JORHAT,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_KAMRUP,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_KAMRUP_METRO,fuzzy_candidate_only,fuzzy_candidate_only,False,False,False,True,True
IND_ASSAM_KARBI_ANGLONG,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_KARIMGANJ,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_KOKRAJHAR,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_LAKHIMPUR,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_MARIGAON,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_NAGAON,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_NALBARI,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_SIVASAGAR,fuzzy_candidate_only,matched_exact_unique,False,False,True,False,True
IND_ASSAM_SONITPUR,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_TINSUKIA,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_ASSAM_UDALGURI,fuzzy_candidate_only,matched_exact_unique,False,False,True,False,True
IND_BIHAR_ARARIA,matched_exact_unique,matched_exact_unique,True,False,False,False,False
IND_BIHAR_ARWAL,fuzzy_candidate_only,matched_exact_unique,False,False,True,False,True
IND_BIHAR_AURANGABAD,matched_exact_unique,matched_exact_unique,True,False,False,False,False
