canonical_crop_row_id,district_id,data_split,canonical_state_name,canonical_district_name,Crop_canonical,Season_canonical,Crop_Year,Area_corrected,latitude,longitude,rain_sum_mm,rain_mean_mm,rainy_days_ge1mm,dry_days_lt1mm,heavy_rain_days_ge20mm,longest_dry_spell_days,longest_wet_spell_days,temp_mean_c,temp_max_mean_c,temp_min_mean_c,temp_max_absolute_c,temp_min_absolute_c,hot_days_tmax_ge35c,cold_days_tmin_lt10c,humidity_mean_pct,solar_radiation_mean,wind_speed_mean,first_25pct_rain_sum_mm,first_25pct_temp_mean_c,first_25pct_longest_dry_spell_days,last_25pct_rain_sum_mm,last_25pct_temp_mean_c,last_25pct_heavy_rain_days,lag_yield_1y,lag_available,lag_source_crop_year,lag_source_canonical_crop_row_id,target_yield
CCR_5D94AF28B47F3DB3E0C7,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Arhar/Tur,Kharif,1998,35900.0,19.29892001,79.08081669,1036.9099999999987,5.1845499999999936,107,93,16,32,39,29.180650000000014,33.642100000000084,25.20294999999991,48.91,15.16,53,0,70.76865000000022,18.096149999999977,2.2557999999999963,59.00999999999976,36.884399999999985,32,138.29000000000042,24.956000000000202,1,0.034161490683229816,1,1997,CCR_6D2BD3D83F2196FA5E3F,0.35376044568245124
CCR_1815ABD167B80AAC2950,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Castor seed,Kharif,1998,2100.0,19.29892001,79.08081669,991.6699999999985,5.509277777777769,100,80,16,32,39,29.801333333333353,34.24266666666675,25.804166666666575,48.91,18.01,53,0,69.196777777778,18.154111111111096,2.324666666666661,18.95999999999958,37.74044444444448,32,196.86000000000035,26.079555555555757,2,0.2692307692307692,1,1997,CCR_D86964D867CF0E15322E,0.19047619047619047
CCR_CF719F4F4EBD5BED48E4,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Cotton(lint),Kharif,1998,162100.0,19.29892001,79.08081669,1039.8199999999986,4.9515238095238026,108,102,16,32,39,28.796857142857153,33.3328571428572,24.765285714285625,48.91,13.61,53,0,71.13790476190498,18.022285714285694,2.228428571428569,71.80999999999972,36.44264150943398,32,96.87000000000012,24.014339622641618,0,0.45893719806763283,1,1997,CCR_7CDF0D8BCB7204708276,0.9524984577421345
CCR_6CDE9D96B76F88A785AE,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Dry chillies,Kharif,1998,6000.0,19.29892001,79.08081669,1029.339999999999,5.71855555555555,104,76,16,28,39,28.778833333333356,33.03016666666675,25.060499999999905,48.91,18.01,38,0,73.7483333333336,17.53627777777775,2.2538333333333287,78.28999999999996,35.48111111111114,28,136.27000000000044,25.365777777778,1,0.5636363636363636,1,1997,CCR_08DE66F182D00ADAD111,0.5833333333333334
CCR_1EB43529DA4668B837E0,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Dry chillies,Rabi,1998,700.0,19.29892001,79.08081669,147.68000000000052,0.8204444444444473,26,154,1,79,6,23.972833333333316,31.813222222222308,16.93733333333329,42.29,8.07,47,7,53.42822222222207,19.66727777777773,1.5200000000000033,135.74000000000046,24.928222222222395,5,0.17000000000007276,29.77311111111113,0,2.2857142857142856,1,1997,CCR_D6D891C1D61DD3EBE411,2.2857142857142856
CCR_BC0C897760194D8E0EA1,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Gram,Rabi,1998,2900.0,19.29892001,79.08081669,71.08000000000038,0.5467692307692337,16,114,0,79,3,21.871153846153764,29.797461538461608,15.158538461538424,37.59,8.07,12,7,59.45853846153835,18.59853846153843,1.5375384615384675,63.90000000000009,23.694242424242532,5,6.960000000000036,25.195454545454236,0,0.125,1,1997,CCR_41C6EBE8E23D8106EDFD,0.13793103448275862
CCR_C03A7A60995B2F5EBE69,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Groundnut,Rabi,1998,5300.0,19.29892001,79.08081669,140.5500000000004,1.1712500000000035,23,97,1,73,6,21.658583333333322,28.865333333333396,15.71674999999994,33.96,8.07,0,7,67.16583333333317,18.00658333333331,1.480333333333338,98.22000000000003,25.46833333333367,4,0.11000000000012733,20.272333333333155,0,0.8918918918918919,1,1997,CCR_2491F9555E89DEDA89FA,1.3018867924528301
CCR_72ECE1C7A6D18527E796,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Horse-gram,Rabi,1998,3200.0,19.29892001,79.08081669,140.5500000000004,1.2777272727272764,23,87,1,63,6,21.545363636363685,28.506454545454602,15.870181818181747,31.13,8.07,0,7,69.88709090909086,17.816090909090896,1.4947272727272776,92.6400000000001,25.687857142857474,4,0.11000000000012733,18.870357142857106,0,0.09375,1,1997,CCR_5501193994AAB0CD6986,0.1875
CCR_5B7B4250CAC7D99ECFAA,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Jowar,Kharif,1998,49800.0,19.29892001,79.08081669,789.2599999999984,6.5771666666666535,73,47,14,28,39,30.342166666666632,34.78100000000001,26.420166666666592,48.91,23.14,38,0,67.60675000000025,17.669749999999947,2.58266666666666,13.409999999999854,38.290666666666766,28,276.03,26.652666666666605,4,0.5412371134020618,1,1997,CCR_A21F9C2FA9D31C5A81CA,1.21285140562249
CCR_830E774A5481E9994A88,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Jowar,Rabi,1998,93500.0,19.29892001,79.08081669,140.5500000000004,1.1712500000000035,23,97,1,73,6,21.658583333333322,28.865333333333396,15.71674999999994,33.96,8.07,0,7,67.16583333333317,18.00658333333331,1.480333333333338,98.22000000000003,25.46833333333367,4,0.11000000000012733,20.272333333333155,0,0.3485952133194589,1,1997,CCR_F6DF33A9E93D7CC25E4E,0.4374331550802139
CCR_99710B3DEE10B8C41241,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Maize,Kharif,1998,24900.0,19.29892001,79.08081669,789.2599999999984,6.5771666666666535,73,47,14,28,39,30.342166666666632,34.78100000000001,26.420166666666592,48.91,23.14,38,0,67.60675000000025,17.669749999999947,2.58266666666666,13.409999999999854,38.290666666666766,28,276.03,26.652666666666605,4,2.6359832635983262,1,1997,CCR_677EACEC91D37FC6E402,2.389558232931727
CCR_046DF578181B7764DDFA,IND_ANDHRA_PRADESH_ADILABAD,train,Andhra Pradesh,ADILABAD,Maize,Rabi,1998,4400.0,19.29892001,79.08081669,140.5500000000004,1.1712500000000035,23,97,1,73,6,21.658583333333322,28.865333333333396,15.71674999999994,33.96,8.07,0,7,67.16583333333317,18.00658333333331,1.480333333333338,98.22000000000003,25.46833333333367,4,0.11000000000012733,20.272333333333155,0,2.9782608695652173,1,1997,CCR_81F2FDAE3C5CBA3CC980,4.181818181818182
