canonical_state_name,canonical_district_name,Crop_Year,Season_canonical,Crop_canonical,legacy_source_row_id,expanded_source_row_id,legacy_Area,expanded_Area,legacy_Production_corrected,expanded_Production_corrected,legacy_target_yield,expanded_target_yield,area_difference,production_difference,yield_difference,selected_source,decision_reason,area_ratio_expanded_to_legacy,production_ratio_expanded_to_legacy,target_ratio_expanded_to_legacy,area_ratio_pattern,production_ratio_pattern,target_ratio_pattern,unit_correction_type,unit_correction_factor,unit_correction_evidence,source_overlap_status,corrected_productions_match
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Banana,39,277594,66.42,66.418,404.12,404.12,6.084311954230653,6.0844951669728085,0.0019999999999953,0.0,-0.0001832127421552,legacy_source,legacy_source_preferred_for_conflicting_overlap,0.9999698885877748,1.0,1.0000301123189497,other,1,other,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,True
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif,Rice,138,236425,10509.37,10509.37,30760.7,30760.698,2.92697849633232,2.926978306025956,0.0,0.0020000000004074,1.9030636444483664e-07,legacy_source,legacy_source_preferred_for_conflicting_overlap,1.0,0.9999999349819737,0.999999934981974,1,1,1,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,True
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,other oilseeds,156,277636,89.3,89.3,46.5,46.49799999999999,0.5207166853303472,0.5206942889137737,0.0,0.0020000000000095,2.239641657353353e-05,legacy_source,legacy_source_preferred_for_conflicting_overlap,1.0,0.9999569892473116,0.9999569892473115,1,other,other,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,False
Andhra Pradesh,ANANTAPUR,2012,Kharif,Arhar/Tur,794,363892,56586.0,56000.0,8035.0,8000.0,0.1419962534902626,0.1428571428571428,586.0,35.0,-0.0008608893668802,legacy_source,legacy_source_preferred_for_conflicting_overlap,0.9896440815749479,0.9956440572495333,1.0060627611343227,other,other,other,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,False
Andhra Pradesh,ANANTAPUR,2012,Kharif,Bajra,795,363989,2176.0,2000.0,1456.0,1000.0,0.6691176470588235,0.5,176.0,456.0,0.1691176470588234,legacy_source,legacy_source_preferred_for_conflicting_overlap,0.9191176470588235,0.6868131868131868,0.7472527472527473,other,other,other,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,False
Andhra Pradesh,ANANTAPUR,2012,Kharif,Castor seed,797,364136,24154.0,25000.0,9179.0,9000.0,0.3800198724848886,0.36,-846.0,179.0,0.0200198724848886,legacy_source,legacy_source_preferred_for_conflicting_overlap,1.0350252546162126,0.9804989650288702,0.9473188800522933,other,other,other,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,False
Andhra Pradesh,ANANTAPUR,2012,Kharif,Cotton(lint),799,364264,27566.0,28000.0,35511.0,35000.0,1.2882173692229557,1.25,-434.0,511.0,0.0382173692229557,legacy_source,legacy_source_preferred_for_conflicting_overlap,1.015744032503809,0.9856100926473487,0.9703331362113149,other,other,other,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,False
Andhra Pradesh,ANANTAPUR,2012,Kharif,Dry chillies,801,364372,2736.0,3000.0,5603.0,6000.0,2.0478801169590644,2.0,-264.0,-397.0,0.0478801169590643,legacy_source,legacy_source_preferred_for_conflicting_overlap,1.0964912280701755,1.0708548991611637,0.9766196680349812,other,other,other,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,False
Andhra Pradesh,ANANTAPUR,2012,Kharif,Groundnut,803,364572,708708.0,709000.0,295531.0,296000.0,0.416999666999667,0.4174894217207334,-292.0,-469.0,-0.0004897547210664,legacy_source,legacy_source_preferred_for_conflicting_overlap,1.00041201736117,1.001586973955355,1.001174472691046,other,other,other,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,False
Andhra Pradesh,ANANTAPUR,2012,Kharif,Horse-gram,804,364691,848.0,1000.0,589.0,1000.0,0.6945754716981132,1.0,-152.0,-411.0,-0.3054245283018868,legacy_source,legacy_source_preferred_for_conflicting_overlap,1.179245283018868,1.697792869269949,1.4397283531409168,other,other,other,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,False
Andhra Pradesh,ANANTAPUR,2012,Kharif,Jowar,805,364759,7599.0,8000.0,6930.0,7000.0,0.9119621002763522,0.875,-401.0,-70.0,0.0369621002763521,legacy_source,legacy_source_preferred_for_conflicting_overlap,1.0527701013291222,1.0101010101010102,0.959469696969697,other,other,other,unresolved_conflict,,no deterministic source-pair unit conversion evidence; retained legacy source,conflict_unresolved_legacy_retained,False
