district_id,State_Name,District_Name,review_priority,review_category,triggered_flags,first_year,last_year,crop_rows,candidate_count,review_conclusion,review_status
IND_PUNJAB_S,Punjab,S,high,possible_damage_or_truncation,flag_name_too_short;flag_single_character_name;flag_possible_truncation,2006,2014,73,22,possible damaged or truncated name; candidate review required data evidence,manual_external_verification_required
IND_ANDHRA_PRADESH_ADILABAD,Andhra Pradesh,ADILABAD,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2012,548,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
IND_ANDHRA_PRADESH_HYDERABAD,Andhra Pradesh,HYDERABAD,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2000,8,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
IND_ANDHRA_PRADESH_KARIMNAGAR,Andhra Pradesh,KARIMNAGAR,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2012,486,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
IND_ANDHRA_PRADESH_KHAMMAM,Andhra Pradesh,KHAMMAM,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2012,506,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
IND_ANDHRA_PRADESH_MAHBUBNAGAR,Andhra Pradesh,MAHBUBNAGAR,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2012,560,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
IND_ANDHRA_PRADESH_MEDAK,Andhra Pradesh,MEDAK,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2012,597,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
IND_ANDHRA_PRADESH_NALGONDA,Andhra Pradesh,NALGONDA,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2012,447,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
IND_ANDHRA_PRADESH_NIZAMABAD,Andhra Pradesh,NIZAMABAD,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2012,560,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
IND_ANDHRA_PRADESH_RANGAREDDI,Andhra Pradesh,RANGAREDDI,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2012,580,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
IND_ANDHRA_PRADESH_WARANGAL,Andhra Pradesh,WARANGAL,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2012,485,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
IND_BIHAR_AURANGABAD,Bihar,AURANGABAD,medium,possible_renaming_or_state_reorganization,flag_same_district_name_multiple_states,1997,2014,892,0,same normalized district name appears in multiple states; no correction proposed,reviewed_no_override
